Restaurant ID;Restaurant Name;Country Code;City;Address;Locality;Locality Verbose;Longitude;Latitude;Cuisines;Average Cost for two;Currency;Has Table booking;Has Online delivery;Is delivering now;Switch to order menu;Price range;Aggregate rating;Rating color;Rating text;Votes;
18748726;The Night Jar;1;Jaipur;3rd Floor, Leisure Inn Grand Chanakya, Panch Batti, MI Road, Jaipur;MI Road;MI Road, Jaipur;758.079.318.702;269.167.298.257;North Indian, Continental, Chinese;1600;Indian Rupees(Rs.);0;0;0;0;3;4.7;3F7E00;Excellent;851;
102005;Topaz Restaurant;1;Jaipur;Hotel Natraj, Between Ganpati Plaza - Polo Victory, Jaipur, MI Road, Jaipur;MI Road;MI Road, Jaipur;757.980.023.324;269.206.185.538;North Indian, Chinese, Continental, Rajasthani, Italian, Beverages, Pizza;800;Indian Rupees(Rs.);1;1;0;0;2;4.4;5BA829;Very Good;757;
18512966;Farzi Cafe;1;Jaipur;Radisson Jaipur City Center, Khasa Kothi Circle, MI Road, Jaipur;Radisson Jaipur City Center, MI Road;Radisson Jaipur City Center, MI Road, Jaipur;757.946.928.218;269.197.288.935;Modern Indian;2000;Indian Rupees(Rs.);0;0;0;0;4;4.6;3F7E00;Excellent;962;
101061;Marky Momos;1;Jaipur;304/4, Raja Park, Jaipur;Raja Park;Raja Park, Jaipur;758.260.129.765;268.941.909.198;Chinese, Fast Food, Momos;500;Indian Rupees(Rs.);0;1;0;0;2;4.2;5BA829;Very Good;1630;
18641794;Shankar Samosa;1;Jaipur;110/111, Street 1, Near Vedic Kanya PG College, Gurunanak Pura, Raja Park, Jaipur;Raja Park;Raja Park, Jaipur;758.250.782.266;268.964.547.306;Street Food;50;Indian Rupees(Rs.);0;1;1;0;1;4.3;5BA829;Very Good;727;
100611;M.M. Khan Hotel;1;Jaipur;115, Ramganj Bazaar, Pink City, Jaipur;Ramganj Bazaar, Pink City;Ramganj Bazaar, Pink City, Jaipur;758.312.878.758;269.218.953.357;North Indian;350;Indian Rupees(Rs.);0;1;0;0;1;4.0;5BA829;Very Good;1774;
100150;Kanha;1;Jaipur;Arya Square, Near Subhash Nagar Shopping Complex, Shastri Nagar, Jaipur;Shastri Nagar;Shastri Nagar, Jaipur;757.943.914.086;269.353.331.034;Mithai, North Indian, South Indian, Chinese;500;Indian Rupees(Rs.);0;1;1;0;2;4.0;5BA829;Very Good;852;
101224;Chhabra's Pure Veg;1;Jaipur;592, A Main Kings Road, Nirman Nagar, Shyam Nagar, Jaipur;Shyam Nagar;Shyam Nagar, Jaipur;757.511.417.940;268.886.533.475;North Indian, South Indian, Chinese;650;Indian Rupees(Rs.);0;1;1;0;2;4.0;5BA829;Very Good;931;
101224;Chhabra's Pure Veg;1;Jaipur;592, A Main Kings Road, Nirman Nagar, Shyam Nagar, Jaipur;Shyam Nagar;Shyam Nagar, Jaipur;757.511.417.940;268.886.533.475;North Indian, South Indian, Chinese;650;Indian Rupees(Rs.);0;1;1;0;2;4.0;5BA829;Very Good;931;
100489;Muhammadi Palace;1;Jaipur;76 & 77, Khetari House Road, Outside Chandpole, Sindhi Camp, Jaipur;Sindhi Camp;Sindhi Camp, Jaipur;758.090.858.907;269.278.632.246;North Indian, Mughlai, Kebab;350;Indian Rupees(Rs.);0;1;1;0;1;3.8;9ACD32;Good;2315;
